"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH1",869,900,103,122,418,131,256,143,2,49,24,0,64,28,59,246,2,36,0,0,80,606,6
"CH1",207,95,95,350,329,18,278,48,5,10,957,575,58,168,127,46,0,21,0,0,129,943,0
"CH1",936,399,177,212,313,51,254,47,6,89,502,290,81,356,156,136,4,33,31,2,235,611,3
"CH1",344,484,232,213,430,17,205,167,2,131,1273,717,47,1,70,100,5,15,0,0,92,375,0
"CH1",56,33,38,90,171,13,122,16,1,0,0,0,29,3,43,24,1,10,1,0,34,204,0
"CH1",565,324,157,131,168,14,135,116,3,63,650,340,53,4,50,171,2,25,0,0,112,314,0
"CH1",713,325,134,239,311,22,246,68,4,27,24,0,43,304,70,220,4,21,0,1,121,462,0
"CH1",869,651,97,166,418,35,206,141,228,62,0,0,41,1,58,335,3,33,0,0,122,306,0
"CH1",230,104,72,231,764,39,176,16,251,1,1,0,105,148,170,60,2,26,0,1,99,347,1
"CH1",64,138,22,72,62,2,83,62,2,3,0,0,27,2,18,65,0,8,0,0,69,198,0
"CH1",631,93,570,131,227,41,178,40,5,4,2,0,44,42,551,56,0,52,0,0,120,447,1
"CH1",624,571,129,216,350,34,280,226,127,25,33,1,101,66,51,162,1,35,1,0,106,789,0
"CH1",293,123,130,261,485,49,414,50,11,8,81,0,68,50,175,100,5,71,0,0,233,872,2
"CH1",410,95,72,218,473,33,321,20,10,6,0,0,66,17,45,66,1,26,2,0,155,730,0
"CH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0
"CH1",108,62,73,257,164,12,139,16,4,5,0,0,58,3,48,26,2,18,0,0,124,314,0
"CH1",6,8,464,20,5,4,3,0,0,0,0,0,11,0,8,29,0,61,0,0,1,501,1
"CH1",3,0,59,0,1,0,1,0,0,99,2948,1988,6,0,0,0,0,2,0,0,0,66,0
"CH1",66,57,51,93,64,8,144,14,6,0,0,0,26,2,26,29,1,13,2,0,74,156,0
"CH1",518,498,189,192,105,21,153,105,139,238,1536,966,83,0,93,194,5,72,50,2,48,254,1
"CH1",12,7,7,26,19,6,8,2,0,0,0,0,4,0,41,8,0,4,2,0,75,40,0
"CH1",270,132,52,140,77,37,86,25,4,53,282,131,31,0,76,130,18,26,1,1,154,402,0
"CH1",14,21,10,41,25,6,32,8,0,1,0,0,14,0,40,7,0,3,1,0,27,70,0
"CH1",125,71,81,71,163,77,92,27,1,4,0,0,66,1,95,49,0,38,0,0,47,73,2
"CH1",180,77,23,128,54,25,38,18,0,1,1,0,29,0,35,37,1,4,3,0,206,39,0
"CH1",1,2,0,39,18,0,1067,1,0,0,0,0,0,0,4,0,0,0,0,0,1,420,0
"CH2",1353,1402,328,485,591,71,509,283,17,164,1309,782,89,89,199,356,5,121,0,6,267,917,1
"CH2",1515,872,475,379,273,63,619,307,9,141,785,558,169,619,84,219,4,133,2,7,172,746,1
"CH2",861,275,142,265,408,21,338,73,4,32,799,229,66,1,217,142,15,51,0,1,314,1287,0
"CH2",1495,1292,609,374,322,185,434,692,87,157,655,377,235,712,74,307,2,64,53,11,152,1040,0
"CH2",866,662,1014,265,448,86,357,157,156,155,495,249,167,674,142,309,2,33,1,3,243,784,0
"CH2",1610,570,356,304,495,102,349,342,12,80,470,281,49,3,135,285,5,50,0,0,283,815,0
"CH2",1000,507,924,161,277,176,202,141,126,236,43,0,35,100,66,141,0,23,0,0,38,1614,26
"CH2",1407,1304,423,510,641,133,448,95,12,329,1015,703,173,614,92,588,3,94,5,4,275,804,1
"CH2",539,634,295,314,303,35,357,43,6,279,1603,716,99,10,93,99,4,51,4,1,229,625,1
"CH2",954,141,172,448,1201,41,779,76,14,55,944,544,109,503,103,78,0,93,0,0,345,990,30
"CH2",1081,723,175,271,385,40,303,31,8,99,588,357,106,290,63,252,17,48,0,2,99,581,0
"CH2",1635,636,288,339,553,54,483,402,441,89,98,0,107,526,99,350,2,46,5,2,200,1220,1
"CH2",1321,491,335,350,613,48,412,336,219,206,691,432,158,240,315,485,4,67,1,0,292,760,5
"CH2",611,322,183,713,1210,64,686,101,15,15,2,0,606,1630,453,162,2,137,125,2,412,1891,17
"CH2",1384,846,227,320,633,118,454,154,6,168,533,324,70,389,156,243,8,38,0,6,154,626,4
"CH2",1172,594,228,1306,524,98,531,408,31,69,399,236,116,261,95,448,2,49,2,0,237,1264,0
"CH2",1362,1146,284,368,699,74,299,282,7,178,886,465,116,220,184,418,2,69,0,3,114,607,0
"CH2",867,804,191,670,1200,50,805,159,10,110,1131,785,94,14,148,286,13,56,0,1,624,1515,1
"CH2",1150,1030,219,551,971,161,550,275,19,30,73,275,187,484,188,464,13,165,0,0,342,1015,13
"CH2",618,911,180,483,473,34,414,108,15,129,860,426,104,45,141,291,10,39,1,3,310,671,1
"CH2",728,702,303,426,628,68,391,301,103,105,880,639,46,4,107,213,3,35,0,3,332,892,4
"CH2",1153,548,228,437,785,86,558,82,145,100,725,450,87,779,97,330,7,71,4,0,196,1239,0
"CH2",553,766,217,330,372,209,496,167,8,153,1026,673,134,280,165,225,4,49,1,0,228,866,0
"CH2",1057,1085,229,441,846,83,467,126,266,23,1,0,188,834,158,244,3,72,0,1,352,948,1
"CH2",1000,911,143,449,790,45,518,367,17,80,502,301,119,27,207,239,3,62,0,4,262,561,3
"CH2",1018,1008,225,733,623,62,767,231,8,55,747,533,121,28,95,322,6,93,2,2,312,1437,1
"CH2",1126,1192,574,723,1123,26,654,66,36,177,1554,877,136,55,106,205,3,87,3,4,86,884,14
"CH2",1471,697,393,246,540,39,268,279,8,142,690,450,128,40,108,356,5,86,4,2,228,1229,0
"CH2",1175,986,193,455,811,262,390,40,10,359,1323,779,175,162,105,205,3,93,2,2,102,700,40
"CH2",1355,906,251,451,609,80,577,417,5,212,1137,803,142,4,86,222,13,99,0,7,352,596,0
"CH2",1538,832,260,528,604,36,418,54,3,223,1281,889,90,167,73,300,5,56,1,2,363,594,0
"CH2",1050,1059,346,399,539,84,562,132,210,28,18,0,152,966,303,331,0,37,0,0,307,827,0
"CH2",901,677,368,239,277,63,355,210,222,81,937,519,92,5,63,138,3,60,0,0,195,498,1
"CH2",297,112,118,447,888,73,729,41,11,18,1,0,125,1765,250,89,13,49,1,1,174,885,10
"CH2",1579,855,478,568,538,60,522,390,5,201,958,638,111,1,177,332,6,102,0,3,113,828,0
"CH2",1359,918,340,344,611,157,345,182,23,242,469,342,78,547,181,256,4,38,0,0,231,1222,1
"CH2",999,868,195,240,343,39,291,108,127,103,1053,763,59,0,42,369,0,35,0,0,456,494,0
"CH2",1074,174,168,593,823,57,521,86,14,193,1306,803,186,830,188,183,6,113,0,0,336,1282,77
"CH2",657,147,293,520,621,20,565,212,7,234,1220,874,169,15,280,95,7,101,0,0,189,880,1
"CH2",1231,1189,373,702,445,76,608,510,200,211,910,612,148,379,169,298,8,100,5,7,269,759,0
"CH2",1397,447,428,437,700,53,494,167,57,119,628,410,73,52,140,477,7,113,0,2,238,658,0
"CH2",1661,1137,588,333,420,41,542,83,2,257,991,681,108,5,63,428,1,21,0,0,170,601,1
"CH2",1243,624,839,462,776,85,583,68,5,189,1028,584,129,573,260,313,4,53,2,4,289,1059,6
"CH2",0,7295,1,210,33,24,2,0,1,0,0,0,15,0,0,861,9,301,0,6,0,750,0
"CH2",432,3697,682,216,50,148,1448,17,1,19,0,0,213,1026,25,97,0,15,0,0,11,1207,1
"CH2",9,1,108,1,2,5,0,31,5,2151,3542,1916,6,0,0,325,0,4,0,0,67,64,0
"CH2",1958,744,174,787,1079,112,990,213,178,83,117,0,231,534,553,123,1,48,0,0,336,1413,0
"CH2",1261,828,247,261,844,68,236,44,4,236,692,332,57,258,129,229,4,32,0,0,374,650,2
"CH2",850,498,271,181,256,59,289,156,7,331,1264,987,73,1093,56,332,2,38,0,0,390,824,0
"CH2",1083,418,406,181,352,195,224,149,8,149,729,529,87,309,145,202,1,44,15,0,194,675,0
"CH2",1344,826,241,280,544,66,311,165,148,237,973,521,50,28,58,284,6,34,1,1,247,1101,62
"CH2",75,5738,67,1103,35,4,23,29,10,14,0,0,48,1,22,304,0,28,0,4,45,1362,0
"CH2",1201,422,348,456,803,107,365,424,4,240,155,0,109,24,182,595,7,61,1,3,201,859,2
"CH2",1506,362,410,342,432,85,465,75,11,172,704,469,253,352,235,139,5,61,0,1,162,611,1
"CH2",1458,1336,392,414,606,116,733,284,17,139,643,395,223,450,288,391,1,100,10,2,232,1389,141
"CH2",1078,887,286,488,815,50,438,222,250,288,704,473,54,0,106,189,7,112,0,2,548,641,0
"CH2",4,5,12,788,9,0,0,1,13,0,0,0,2,0,125,1,0,0,0,0,1319,7217,0
"CH2",881,774,185,312,406,156,289,82,15,239,513,396,246,837,305,174,0,91,0,0,144,943,1
"CH2",716,83,147,294,713,48,459,35,4,127,652,372,108,479,177,53,1,74,0,0,205,1116,0
"CH2",484,1318,155,421,391,33,386,56,6,90,1269,793,150,626,78,82,1,34,1,0,295,1121,0
"CH2",5,291,1,2299,32,10,13,42,31,0,0,0,9,0,45,6,0,15,2,0,30,3262,103
"CH2",400,141,209,480,702,29,473,191,10,189,1139,495,87,12,157,98,4,85,0,0,549,764,3
"CH2",1091,661,319,253,289,51,246,95,3,117,615,369,94,264,65,347,5,35,0,0,196,790,3
"CH2",1261,773,269,168,321,68,775,178,6,72,844,501,170,250,70,331,1,36,0,0,147,737,0
"CH2",1742,1005,252,357,370,64,570,412,26,158,1386,713,107,400,95,678,5,50,1,6,221,875,1
"CH2",326,194,121,507,515,37,461,68,12,243,1734,1185,220,35,323,171,4,118,11,2,232,1032,0
